active,category,name,cost,duration_months,process,related_kpi
True,철도 건설,복선화,"16,935,300,497원/km",124,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,"열차 운행횟수, 열차이용 쾌적성"
True,철도 건설,전철화,"3,206,387,268원/km",71,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,"열차 운행횟수, 표정속도, 열차이용 쾌적성"
True,철도 건설,고속화,"952,832,103원/km",60,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,표정속도
True,철도 건설,복복선화,"22,992,032,374원/km",210,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,"열차 운행횟수, 표정속도, 열차이용 쾌적성"
True,철도 건설,고속/준고속선 신설,"53,670,733,328원/km",220,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,"물리적 접근성, 열차이용 쾌적성"
True,철도 건설,일반선 신설,"29,209,916,517원/km",171,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,물리적 접근성
True,철도 건설,광역철도/GTX 신설,"84,516,103,893원/km",188,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,물리적 접근성
True,철도 건설,철도 지하화,"35,052,034,059원/km",96,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,"물리적 접근성, 역사 시설 쾌적성"
True,철도 건설,승강장 개량,"28,880,952원/m",24,승강장 설계 → 지장물 이설 → 승강장 공사 → 준공,역사 시설 쾌적성
True,철도 건설,역 신설,"15,683,409원/㎡",42,국토부 역사 신설 신청 → 타당성 검증 및 검증위원회 개최 → 역 신설 승인,"물리적 접근성, 환승시설 편의성"
True,철도 건설,역사 증축,"5,939,492원/㎡",25,타당성 검토 → 기본설계 및 실시설계 → 착공 → 준공,"역사 시설 쾌적성, 환승시설 쾌적성 "
True,철도 건설,경정비 차량기지,"446,580원/㎡",54,타당성 검토 → 기본설계 및 실시설계 → 착공 → 준공,열차 운행횟수
True,철도 건설,중정비 차량기지,"730,420원/㎡",59,타당성 검토 → 기본설계 및 실시설계 → 착공 → 준공,열차 운행횟수
True,철도 시설,신호 개량,"374,967,644원/km",25,시스템 설계 → 제작 및 납품 → 시공 → 설치검사 및 시험 → 종합 시운전,"열차 운행횟수, 열차운행 정시성, 열차이용 쾌적성"
True,철도 시설,교량 개량,"36,330,289,134원/km",33,교량 설계 → 토목 공사 → 신설 교량 공사 → 기존 교량 철거 → 궤도 및 시스템 설치,열차운행 정시성
True,철도 시설,전기설비 개량,"434,767,410원/km",24,공사 준비 → 전기설비 신설 → 기존 전기설비 철거 → 시험 운행,열차운행 정시성
True,철도 시설,철도통신망 개량,"195,912,962원/km",25,설계 → 설치 및 시운전 → 교육훈련 → 기존 설비 철거,열차운행 정시성
True,철도 시설,승강장 안전시설,"10,000,000원/m",33,설계 → PSD 제작 및 납품 → 시공 → 설치검사 및 시험 → 시운전 → 운영,역사 시설 쾌적성
True,철도 시설,건널목 안전설비,"679,000,000원/개소",12,설계 → 설치 및 시운전 → 교육훈련 → 준공,열차운행 정시성
True,철도 시설,스마트 역사 추진,"2,070,000,000원/역",24,설계 → 설치 및 시운전 → 교육훈련 → 준공,"시간적 접근성, 역사 시설 쾌적성"
True,철도 시설,철도관제시스템 고도화,"361,000,000원/개소",48,사전용역 → 예비타당성조사 → 기본계획 → 기본계획 및 실시설계 → 운영,"열차운행 정시성, 표정속도"
True,철도 운영,신형 열차 도입 EMU-320(KTX-청룡),"31,592,596,000원/편성",51,차량제작 → 시운전 → 철도차량 형식승인/변경,"열차 운행횟수, 열차이용 쾌적성"
True,철도 운영,신형 열차 도입 EMU-260(KTX-이음),"25,673,684,211원/편성",45,차량제작 → 시운전 → 철도차량 형식승인/변경,"열차 운행횟수, 열차이용 쾌적성"
True,철도 운영,신형 열차 도입 ITX-마음(6량),"10,038,120,558원/편성",36,차량제작 → 시운전 → 철도차량 형식승인/변경,"열차 운행횟수, 열차이용 쾌적성"
True,철도 운영,신형 열차 도입 ITX-마음(4량),"7,413,541,756원/편성",36,차량제작 → 시운전 → 철도차량 형식승인/변경,"열차 운행횟수, 열차이용 쾌적성"
True,철도 운영,신형 열차 도입 10량 전동차 1편성,"13,690,210,000원/편성",36,차량제작 → 시운전 → 철도차량 형식승인/변경,"열차 운행횟수, 열차이용 쾌적성"
True,철도 운영,광역급행철도 도입,"92,079,122,215원/km",81,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,표정속도
True,철도 운영,철도 미운행지역 신규공급 - 고속/준고속선 신설,"53,670,733,328원/km",220,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,물리적 접근성
True,철도 운영,철도 미운행지역 신규공급 -  일반선 신설,"29,209,916,517원/km",171,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,물리적 접근성
True,철도 운영,철도 미운행지역 신규공급 -  광역철도/GTX 신설,"84,516,103,893원/km",188,예비타당성조사 → 기본계획 → 기본설계 및 실시설계 → 공사 착공,물리적 접근성
True,철도 운영,공공할인제도 도입,"367,409,672,000원/1년",36,지방정부간 협의 → 시스템 구축,경제적 접근성
True,철도 운영,역사 혼잡도 완화,"5,939,492원/㎡",25,타당성 검토 → 기본설계 및 실시설계 → 착공 → 준공,역사 시설 쾌적성
True,철도 운영,열차 혼잡도 완화 - EMU-320(KTX-청룡),"31,592,596,000원/편성",51,차량제작 → 시운전 → 철도차량 형식승인/변경,열차이용 쾌적성
True,철도 운영,열차 혼잡도 완화 - EMU-260(KTX-이음),"25,673,684,211원/편성",45,차량제작 → 시운전 → 철도차량 형식승인/변경,열차이용 쾌적성
True,철도 운영,열차 혼잡도 완화 - ITX-마음(6량),"10,038,120,558원/편성",36,차량제작 → 시운전 → 철도차량 형식승인/변경,열차이용 쾌적성
True,철도 운영,열차 혼잡도 완화 - ITX-마음(4량),"7,413,541,756원/편성",36,차량제작 → 시운전 → 철도차량 형식승인/변경,열차이용 쾌적성
True,철도 운영,열차 혼잡도 완화 - 10량 전동차 1편성,"13,690,210,000원/편성",36,차량제작 → 시운전 → 철도차량 형식승인/변경,열차이용 쾌적성
True,철도 운영,1역사 1동선 확보,"96,177,994원/EV 1대",13,실시설계 → 장비 제작 및 조립 → 검사 및 시운전 → 준공검사,"환승시설 편의성, 환승시설 쾌적성 "
True,연계교통,신규 버스 노선 확충,"848,591원/대·일",24,요구 노선 발굴 → 의견 수렴 및 노선조정안 마련 → 버스정책시민위원회 심의 → 노선 결정,"물리적 접근성, 시간적 접근성"
True,연계교통,환승주차장 구축,"40,000,000원/주차1면",36,사업계획 및 타당성 검토 → 도시관리계획 반영 및 토지 매입 → 설계 및 실시계획 → 시공,경제적 접근성
True,연계교통,신교통수단 확충 - 트램,"39,778,837,148원/km",97,도시철도망 구축계획 반영 → 예비타당성조사 → 기본계획 → 기본 및 실시설계 → 공사 착공,"물리적 접근성, 시간적 접근성"
True,연계교통,신교통수단 확충 - BRT,"4,509,803,922원/km",72,개발계획 승인 → 기본 및 실시설계 → 착공,"물리적 접근성, 시간적 접근성"
True,연계교통,신교통수단 확충 - 수요응답형 DRT,"226,100,000원/1대",6,DRT 시스템(앱 및 시스템) 구축 → DRT 차량 구매 → 운영,"물리적 접근성, 시간적 접근성"
True,연계교통,복합환승센터 구축,"66,128,125,000원/개소",36,사업계획 및 타당성 검토 → 도시관리계획 반영 및 토지 매입 → 설계 및 실시계획 → 시공,"물리적 접근성, 시간적 접근성, 환승시설 편의성, 환승시설 쾌적성 "
True,연계교통,MaaS 도입,"6,800,434,142원/건",12,거버넌스 및 생태계 구축 → 플랫폼 개발 및 데이터 통합 → 시범운영 및 상용화,"시간적 접근성, 경제적 접근성"
